#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
2.7227e+02 1.2000e-08 2.7383e-03 1.4330e-27 9.4364e+01 F
1.8988e+01 5.0431e-10 8.6059e-05 2.8290e-27 1.1334e+02 F
1.2206e-13 5.2242e-16 5.4599e-13 7.0311e-27 1.2132e+03 F
2.2121e-05 7.1386e-12 0.0000e+00 5.8432e-26 1.8225e+03 S
1.7247e+01 5.7709e-10 6.1129e-05 1.5837e-26 1.2979e+02 F
3.5700e-19 9.3821e-19 3.1377e-16 9.2277e-27 1.0578e+03 F
2.8653e+02 1.2159e-08 2.8964e-03 2.9657e-27 8.9445e+01 F
1.1259e-06 9.7265e-13 2.0316e-09 8.0415e-27 1.1340e+03 F
9.7022e+01 7.2155e-08 1.1949e-03 2.0131e-27 8.3776e+01 F
1.5372e-06 2.0051e-12 0.0000e+00 5.3720e-26 1.9013e+03 S
3.1544e-09 7.9243e-14 0.0000e+00 6.0357e-26 1.7899e+03 S
3.7787e-10 2.7788e-14 0.0000e+00 5.9592e-26 1.8008e+03 S
3.2573e-15 5.8430e-17 1.2032e-13 7.2956e-27 1.1909e+03 F
3.8788e-06 1.3665e-11 8.8695e-07 1.7007e-31 1.1046e+02 F
1.0090e-07 2.6467e-13 7.8885e-10 7.1223e-27 1.2052e+03 F
1.9229e-09 5.8140e-14 0.0000e+00 6.3946e-26 1.7380e+03 S
1.8880e-11 6.8030e-15 6.5137e-12 6.9626e-27 1.2192e+03 F
1.5108e-03 2.5770e-11 7.6434e-08 9.4471e-27 1.0386e+03 F
1.6169e-05 7.6760e-12 0.0000e+00 4.7178e-26 2.0384e+03 S
1.4381e+01 1.9472e-08 6.3198e-05 2.0294e-26 3.6675e+02 F
5.7231e-08 2.5455e-13 2.6916e-10 9.6500e-27 1.0341e+03 F
1.9142e-13 2.9336e-16 8.6913e-13 8.7397e-27 1.0872e+03 F
6.0995e-10 4.3331e-14 0.0000e+00 4.9354e-26 1.9805e+03 S
5.8529e+02 1.6319e-10 3.1466e-03 5.1143e-27 1.0888e+02 F
3.5115e+02 8.2014e-09 1.5549e-03 2.3587e-27 1.5299e+02 F
8.8885e-09 1.1933e-13 8.2210e-11 9.5241e-27 1.0409e+03 F
1.0020e-05 4.0816e-12 0.0000e+00 6.7293e-26 1.6994e+03 S
1.3388e-10 1.4816e-14 0.0000e+00 6.6058e-26 1.7101e+03 S
1.4256e-15 1.6541e-14 4.5768e-10 1.0747e-34 1.4093e+02 F
2.6906e-13 2.6294e-16 1.0863e-12 9.1059e-27 1.0649e+03 F
1.1983e-03 9.2400e-11 0.0000e+00 4.4742e-26 2.2121e+03 S
9.5835e-08 2.1279e-16 9.0161e-10 8.8533e-27 1.0797e+03 F
1.1472e+02 2.5627e-09 5.3531e-04 1.2961e-26 1.1179e+02 F
9.4103e-17 7.9804e-18 2.1653e-14 7.6309e-27 1.1642e+03 F
1.6164e-09 6.2216e-14 0.0000e+00 5.5366e-26 1.8687e+03 S
3.9193e+01 8.8426e-10 1.4189e-04 1.6320e-26 1.2906e+02 F
7.8302e-12 5.1799e-17 8.4814e-12 8.4722e-27 1.1043e+03 F
2.0274e+02 1.5562e-08 3.9160e-03 1.1554e-27 8.6619e+01 F
6.9684e+01 1.5375e-08 3.8197e-03 6.8846e-28 8.0615e+01 F
3.7939e+01 3.9581e-08 1.9499e-03 3.5598e-28 8.1626e+01 F
3.8856e+02 1.5422e-08 1.8707e-03 5.8170e-27 1.1207e+02 F
3.7394e+02 1.7303e-08 1.2490e-03 1.9831e-27 1.5654e+02 F
